table_name,field_name,field_value,language,translation
stop_times,stop_headsign,NTT青森支店,ja,NTT青森支店
routes,route_short_name,NTT青森支店,ja,NTT青森支店
stop_times,stop_headsign,県立中央病院,en,Kenritsu Chuo Byoin
routes,route_short_name,県立中央病院,en,Kenritsu Chuo Byoin
stop_times,stop_headsign,県立中央病院,ja,県立中央病院
routes,route_short_name,県立中央病院,ja,県立中央病院
stop_times,stop_headsign,市民病院,en,Shimin Byoin
routes,route_short_name,市民病院,en,Shimin Byoin
stop_times,stop_headsign,市民病院,ja,市民病院
routes,route_short_name,市民病院,ja,市民病院
stop_times,stop_headsign,東部,en,Tobu Eigyosho
routes,route_short_name,東部,en,Tobu Eigyosho
stop_times,stop_headsign,東部,ja,東部
routes,route_short_name,東部,ja,東部
stop_times,stop_headsign,東部〈営〉,en,Tobu Eigyosho
routes,route_short_name,東部〈営〉,en,Tobu Eigyosho
stop_times,stop_headsign,東部〈営〉,ja,東部〈営〉
routes,route_short_name,東部〈営〉,ja,東部〈営〉
stop_times,stop_headsign,県病,en,Kenritsu Chuo Byoin
routes,route_short_name,県病,en,Kenritsu Chuo Byoin
stop_times,stop_headsign,県病,ja,県病
routes,route_short_name,県病,ja,県病
stop_times,stop_headsign,浅虫温泉駅,en,Asamushi Onsen Sta.
routes,route_short_name,浅虫温泉駅,en,Asamushi Onsen Sta.
stop_times,stop_headsign,浅虫温泉駅,ja,浅虫温泉駅
routes,route_short_name,浅虫温泉駅,ja,浅虫温泉駅
stop_times,stop_headsign,浅虫水族館,en,Asamushi Suizokukan
routes,route_short_name,浅虫水族館,en,Asamushi Suizokukan
stop_times,stop_headsign,浅虫水族館,ja,浅虫水族館
routes,route_short_name,浅虫水族館,ja,浅虫水族館
stop_times,stop_headsign,東部営業所,en,Tobu Eigyosho
routes,route_short_name,東部営業所,en,Tobu Eigyosho
stop_times,stop_headsign,東部営業所,ja,東部営業所
routes,route_short_name,東部営業所,ja,東部営業所
stop_times,stop_headsign,上築木館,en,Kami Tsukinokidate
routes,route_short_name,上築木館,en,Kami Tsukinokidate
stop_times,stop_headsign,上築木館,ja,上築木館
routes,route_short_name,上築木館,ja,上築木館
stop_times,stop_headsign,商業高校前,en,Shogyo Koko Mae
routes,route_short_name,商業高校前,en,Shogyo Koko Mae
stop_times,stop_headsign,商業高校前,ja,商業高校前
routes,route_short_name,商業高校前,ja,商業高校前
stop_times,stop_headsign,沢田橋,en,Sawada Bashi
routes,route_short_name,沢田橋,en,Sawada Bashi
stop_times,stop_headsign,沢田橋,ja,沢田橋
routes,route_short_name,沢田橋,ja,沢田橋
stop_times,stop_headsign,昭和大仏,en,Showa Daibutsu
routes,route_short_name,昭和大仏,en,Showa Daibutsu
stop_times,stop_headsign,昭和大仏,ja,昭和大仏
routes,route_short_name,昭和大仏,ja,昭和大仏
stop_times,stop_headsign,桑原,en,Kuwabara
routes,route_short_name,桑原,en,Kuwabara
stop_times,stop_headsign,桑原,ja,桑原
routes,route_short_name,桑原,ja,桑原
stop_times,stop_headsign,戸山団地,en,Toyama Danchi
routes,route_short_name,戸山団地,en,Toyama Danchi
stop_times,stop_headsign,戸山団地,ja,戸山団地
routes,route_short_name,戸山団地,ja,戸山団地
stop_times,stop_headsign,月見野霊園,en,Tsukimino Reien
routes,route_short_name,月見野霊園,en,Tsukimino Reien
stop_times,stop_headsign,月見野霊園,ja,月見野霊園
routes,route_short_name,月見野霊園,ja,月見野霊園
stop_times,stop_headsign,田茂木沢,en,Tamogisawa
routes,route_short_name,田茂木沢,en,Tamogisawa
stop_times,stop_headsign,田茂木沢,ja,田茂木沢
routes,route_short_name,田茂木沢,ja,田茂木沢
stop_times,stop_headsign,田茂木野,en,Tamogino
routes,route_short_name,田茂木野,en,Tamogino
stop_times,stop_headsign,田茂木野,ja,田茂木野
routes,route_short_name,田茂木野,ja,田茂木野
stop_times,stop_headsign,モヤヒルズ,en,Moya Hills
routes,route_short_name,モヤヒルズ,en,Moya Hills
stop_times,stop_headsign,モヤヒルズ,ja,モヤヒルズ
routes,route_short_name,モヤヒルズ,ja,モヤヒルズ
stop_times,stop_headsign,幸畑団地,en,Kobata Danchi
routes,route_short_name,幸畑団地,en,Kobata Danchi
stop_times,stop_headsign,幸畑団地,ja,幸畑団地
routes,route_short_name,幸畑団地,ja,幸畑団地
stop_times,stop_headsign,学校教育センター,en,Gakko Kyoiku Center
routes,route_short_name,学校教育センター,en,Gakko Kyoiku Center
stop_times,stop_headsign,学校教育センター,ja,学校教育センター
routes,route_short_name,学校教育センター,ja,学校教育センター
stop_times,stop_headsign,スケート場,en,Skate Jo
routes,route_short_name,スケート場,en,Skate Jo
stop_times,stop_headsign,スケート場,ja,スケート場
routes,route_short_name,スケート場,ja,スケート場
stop_times,stop_headsign,問屋町,en,Tonyamachi
routes,route_short_name,問屋町,en,Tonyamachi
stop_times,stop_headsign,問屋町,ja,問屋町
routes,route_short_name,問屋町,ja,問屋町
stop_times,stop_headsign,流通団地,en,Ryutsu Danchi
routes,route_short_name,流通団地,en,Ryutsu Danchi
stop_times,stop_headsign,流通団地,ja,流通団地
routes,route_short_name,流通団地,ja,流通団地
stop_times,stop_headsign,南部工業団地,en,Nanbu Kogyo Danchi
routes,route_short_name,南部工業団地,en,Nanbu Kogyo Danchi
stop_times,stop_headsign,南部工業団地,ja,南部工業団地
routes,route_short_name,南部工業団地,ja,南部工業団地
stop_times,stop_headsign,慈恵会病院,en,Jikeikai Byoin
routes,route_short_name,慈恵会病院,en,Jikeikai Byoin
stop_times,stop_headsign,慈恵会病院,ja,慈恵会病院
routes,route_short_name,慈恵会病院,ja,慈恵会病院
stop_times,stop_headsign,細越,en,Hosogoe
routes,route_short_name,細越,en,Hosogoe
stop_times,stop_headsign,細越,ja,細越
routes,route_short_name,細越,ja,細越
stop_times,stop_headsign,南高校,en,Minami Koko
routes,route_short_name,南高校,en,Minami Koko
stop_times,stop_headsign,南高校,ja,南高校
routes,route_short_name,南高校,ja,南高校
stop_times,stop_headsign,朝日放送,en,Asahi Hoso
routes,route_short_name,朝日放送,en,Asahi Hoso
stop_times,stop_headsign,朝日放送,ja,朝日放送
routes,route_short_name,朝日放送,ja,朝日放送
stop_times,stop_headsign,野木,en,Nogi
routes,route_short_name,野木,en,Nogi
stop_times,stop_headsign,野木,ja,野木
routes,route_short_name,野木,ja,野木
stop_times,stop_headsign,新青森駅南口,en,Shin Aomori Sta. Minamiguchi
routes,route_short_name,新青森駅南口,en,Shin Aomori Sta. Minamiguchi
stop_times,stop_headsign,新青森駅南口,ja,新青森駅南口
routes,route_short_name,新青森駅南口,ja,新青森駅南口
stop_times,stop_headsign,青駅南口,en,Shin Aomori Sta. Minamiguchi
routes,route_short_name,青駅南口,en,Shin Aomori Sta. Minamiguchi
stop_times,stop_headsign,青駅南口,ja,青駅南口
routes,route_short_name,青駅南口,ja,青駅南口
stop_times,stop_headsign,青駅東口,en,Shin Aomori Sta. Higashiguchi
routes,route_short_name,青駅東口,en,Shin Aomori Sta. Higashiguchi
stop_times,stop_headsign,青駅東口,ja,青駅東口
routes,route_short_name,青駅東口,ja,青駅東口
stop_times,stop_headsign,西部営業所,en,Seibu Eigyosho
routes,route_short_name,西部営業所,en,Seibu Eigyosho
stop_times,stop_headsign,西部営業所,ja,西部営業所
routes,route_short_name,西部営業所,ja,西部営業所
stop_times,stop_headsign,つくしが丘病院,en,Tsukushigaoka Byoin
routes,route_short_name,つくしが丘病院,en,Tsukushigaoka Byoin
stop_times,stop_headsign,つくしが丘病院,ja,つくしが丘病院
routes,route_short_name,つくしが丘病院,ja,つくしが丘病院
stop_times,stop_headsign,岩渡,en,Iwatari
routes,route_short_name,岩渡,en,Iwatari
stop_times,stop_headsign,岩渡,ja,岩渡
routes,route_short_name,岩渡,ja,岩渡
stop_times,stop_headsign,県立美術館,en,Kenritsu Bijutsukan
routes,route_short_name,県立美術館,en,Kenritsu Bijutsukan
stop_times,stop_headsign,県立美術館,ja,県立美術館
routes,route_short_name,県立美術館,ja,県立美術館
stop_times,stop_headsign,野木和団地,en,Nogiwa Danchi
routes,route_short_name,野木和団地,en,Nogiwa Danchi
stop_times,stop_headsign,野木和団地,ja,野木和団地
routes,route_short_name,野木和団地,ja,野木和団地
stop_times,stop_headsign,油川市民センター,en,Aburakawa Shimin Center
routes,route_short_name,油川市民センター,en,Aburakawa Shimin Center
stop_times,stop_headsign,油川市民センター,ja,油川市民センター
routes,route_short_name,油川市民センター,ja,油川市民センター
stop_times,stop_headsign,新生町,en,Shinseicho
routes,route_short_name,新生町,en,Shinseicho
stop_times,stop_headsign,新生町,ja,新生町
routes,route_short_name,新生町,ja,新生町
stop_times,stop_headsign,石江,en,Ishie
routes,route_short_name,石江,en,Ishie
stop_times,stop_headsign,石江,ja,石江
routes,route_short_name,石江,ja,石江
stop_times,stop_headsign,西バイパス,en,Nishi Bypass
routes,route_short_name,西バイパス,en,Nishi Bypass
stop_times,stop_headsign,西バイパス,ja,西バイパス
routes,route_short_name,西バイパス,ja,西バイパス
stop_times,stop_headsign,東バイパス,en,Higashi Bypass
routes,route_short_name,東バイパス,en,Higashi Bypass
stop_times,stop_headsign,東バイパス,ja,東バイパス
routes,route_short_name,東バイパス,ja,東バイパス
stop_times,stop_headsign,浪館,en,Namidate
routes,route_short_name,浪館,en,Namidate
stop_times,stop_headsign,浪館,ja,浪館
routes,route_short_name,浪館,ja,浪館
stop_times,stop_headsign,古川,en,Furukawa
routes,route_short_name,古川,en,Furukawa
