table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,あさくさにちょうめ,0039-01,,
stops,stop_name,en,Asakusa-Nichōme (Asakusa 2),0039-01,,
stops,stop_name,ja,浅草二丁目,0039-02,,
stops,stop_name,ja-Hrkt,あさくさにちょうめ,0039-02,,
stops,stop_name,en,Asakusa-Nichōme (Asakusa 2),0039-02,,
stops,stop_name,ja,奥浅草,0040-01,,
stops,stop_name,ja-Hrkt,おくあさくさ,0040-01,,
stops,stop_name,en,Oku-Asakusa,0040-01,,
stops,stop_name,ja,奥浅草,0040-02,,
stops,stop_name,ja-Hrkt,おくあさくさ,0040-02,,
stops,stop_name,en,Oku-Asakusa,0040-02,,
stops,stop_name,ja,奥浅草,0040-03,,
stops,stop_name,ja-Hrkt,おくあさくさ,0040-03,,
stops,stop_name,en,Oku-Asakusa,0040-03,,
stops,stop_name,ja,奥浅草,0040-04,,
stops,stop_name,ja-Hrkt,おくあさくさ,0040-04,,
stops,stop_name,en,Oku-Asakusa,0040-04,,
stops,stop_name,ja,浅草四丁目,0041-01,,
stops,stop_name,ja-Hrkt,あさくさよんちょうめ,0041-01,,
stops,stop_name,en,Asakusa-Yonchōme (Asakusa 4),0041-01,,
stops,stop_name,ja,浅草四丁目,0041-02,,
stops,stop_name,ja-Hrkt,あさくさよんちょうめ,0041-02,,
stops,stop_name,en,Asakusa-Yonchōme (Asakusa 4),0041-02,,
stops,stop_name,ja,浅草五丁目,0042-01,,
stops,stop_name,ja-Hrkt,あさくさごちょうめ,0042-01,,
stops,stop_name,en,Asakusa-Gochōme (Asakusa 5),0042-01,,
stops,stop_name,ja,浅草五丁目,0042-02,,
stops,stop_name,ja-Hrkt,あさくさごちょうめ,0042-02,,
stops,stop_name,en,Asakusa-Gochōme (Asakusa 5),0042-02,,
stops,stop_name,ja,浅草六丁目,0043-01,,
stops,stop_name,ja-Hrkt,あさくさろくちょうめ,0043-01,,
stops,stop_name,en,Asakusa-Rokuchōme (Asakusa 6),0043-01,,
stops,stop_name,ja,浅草六丁目,0043-02,,
stops,stop_name,ja-Hrkt,あさくさろくちょうめ,0043-02,,
stops,stop_name,en,Asakusa-Rokuchōme (Asakusa 6),0043-02,,
