stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
0065-01,,原中学校入口,,35.749558,139.78013,0065-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=65,0,,,,
0065-02,,原中学校入口,,35.749625,139.779688,0065-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=65,0,,,,
0066-01,,荒川土手操車所前,,35.768802,139.763211,0066-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=66,0,,,,
0066-02,,荒川土手操車所前,,35.768953,139.763353,0066-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=66,0,,,,
0066-03,,荒川土手操車所前,,35.768802,139.763211,0066-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=66,0,,,,
0067-01,,荒川一丁目,,35.733276,139.787252,0067-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=67,0,,,,
0067-02,,荒川一丁目,,35.733193,139.787072,0067-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=67,0,,,,
0068-01,,荒川三丁目,,35.735735,139.780839,0068-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=68,0,,,,
0068-02,,荒川三丁目,,35.735666,139.781653,0068-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=68,0,,,,
0069-01,,荒川四丁目,,35.736957,139.777712,0069-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=69,0,,,,
0069-02,,荒川四丁目,,35.736431,139.775938,0069-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=69,0,,,,
0069-03,,荒川四丁目,,35.737036,139.775782,0069-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=69,0,,,,
0069-04,,荒川四丁目,,35.736178,139.776962,0069-04,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=69,0,,,,
0069-05,,荒川四丁目,,35.736049,139.776905,0069-05,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=69,0,,,,
